EGFR
ALK
KRAS
ROS1
BRAF
STK11
FGFR3
MAP2K1
CTNNB1
ERBB2
HRAS
MYC
PIK3CA
TP63
CLPTM1L
FGFR2
RAF1
NRAS
BAP1
APC
ARAF
SOS1
AHR
EPHA5
ERCC1
AKT1
EML4
ATM
TP53
TTF1
TYMS
KEAP1
MAPK14
SFN
OGG1
SOX2
KDR
XRCC5
ENO1
FOXO3
APEX1
FGFR4
SFTPC
WNK1
CDKN2B
CREBBP
LATS2
ANXA1
HSPB1
AQP4
RPSA
MLH1
RPL36A
SHMT1
SOD2
TNK2
CYP2A13
EPHA3
GAPDH
ANXA5
LDHA
NCL
NTRK2
ATR
RASA1
TOP2A
XPC
TNFSF10
APOBEC3B
FASTK
ERP29
EP300
EPHA8
ERN1
FASN
FLT1
PRKD2
ARHGAP35
PSAT1
HELLS
HNRNPA1
JUNB
KCNJ4
ARG1
KPNA2
LMNA
NTRK3
DDR2
GOLM1
CMTR2
PRKDC
RFC4
RRM2
MNX1-AS1
KLF5
TK1
TPI1
TTN
NAA10
ULK1
MS4A1
SGK2
RCL1
NPM3
TOMM40
ATP5PD
NOP56
PLK2
NUDT21
TAF1L
TRPM6
CSNK1E
AHCY
EIF2B1
FBL
ALB
ACSL4
ALDOA
CCT5
RRS1
RPL13A
PIGN
ALOX5
ALOX12B
XRCC6
GART
TIMM10
RPS6KC1
EIF2AK1
RPS6KA6
STK39
GNG11
KSR2
BZW2
RANGRF
MSH6
GUCY2F
HSD17B10
HK1
HK2
HMGB2
APOA1
IMPDH2
INSRR
EIF3E
IRAK1
IRAK2
IPO5
MAP3K15
LMNB1
MOS
MSH3
RPL10A
NEK1
NPM1
PCBD1
POLR1D
FKBP11
TAOK3
TRIM33
NOP58
GAR1
PPP3CA
STRBP
SCYL2
EIF2AK2
PPAN
PAK5
ALDH18A1
RPL27A
MRPL12
RRM1
SATB1
SRR
GNPNAT1
MRPS5
SLC15A2
SLC19A1
SMARCC1
SNRPG
SRM
AURKC
TF
UCK2
VAV1
IPO4
CSRP3
ANP32A
CAMK4
CAPG
H2BC4
GRWD1
DOT1L
MYO18B
PSKH2
SLC4A4
TNK1
PABPC4
SUCLG2
EIF2B4
EIF2B5
LATS1
SNORD22
SFXN1
SLC4A7
AATK
SLK
TIMM8A
CADM1
CDH1
FOXP1
MRE11
CDKN2A
GJB2
GPI
IGF2R
NFE2L2
H1-10
NRG1
CDK4
CHRNA5
SMAD4
FBXW7
CHRNA3
BRCA2
U2AF1
CDKN2B-AS1
DNAJB4
BPTF
GNAS
IDH1
BTNL2
PTPN11
CHRNB4
HYKK
DNMT3A
EPHB1
DCBLD1
HLA-A
IREB2
IRF4
KRT8
RHOA
SFTA2
NOTCH4
TCF19
ACVR1B
SH2B3
CASC11
LMCD1-AS1
EGFR-AS1
MSH5-SAPCD1
ACTR2
FOXP4-AS1
FRY
FAM13A
LINC00824
TSBP1-AS1
MPZL2
HCG9
LINC01414
LINC01828
YAP1
C1D
CEACAM5
LINC02392
LINC01891
TSBP1
MORF4L1
RAB31
TRIM31
ADAMTS7
BAZ1A
RASSF1
UCN3
COL4A5
MUCL3
VTI1A
TEKT5
NEK10
CYP2A6
CYP21A2
PPP1R18
EGF
MPZL3
FAM227B
EPHB2
ERBB3
ESR1
EZH2
ERICH6B
FGF7
RALY
ABCF1
FOXM1
SMUG1
GABBR1
GABPA
GALK2
AK5
GBAP1
RASSF3
BABAM1
CD274
HGF
ZNRD1
HIF1A
HLA-B
HLA-DQA1
HLA-DQA2
IGF1R
IL6
MIGA1
KCNH1
MALAT1
KIF5B
RPL18P11
LINC00243
MIR145
MIR21
HCG18
HCG17
MDM2
MET
MMP2
MMP9
MSH5
MTAP
COX2
MTX1
MUC1
NOTCH1
DCTN4
PDCD1
CDK12
PIK3CB
PIK3CD
PIK3CG
GIPC2
PPP2R1A
RNLS
APOM
MAPK1
MAP2K7
B2M
PTEN
PTGS2
PVT1
RAD51B
CCND1
BCL2
RET
CFB
ATXN2
LINC01829
SLC2A1
SPP1
STAT3
HNF1B
TERC
TERT
TGFB1
NKX2-1
TNF
TNXB
C2
VEGFA
RNF39
ZNRD1ASP
SLC2A10
CASP3
USHBP1
TUBA1C
PROM1
STK19
LDB2
SYNGR2
CABLES1
NAF1
NAPSA
CD44
PDPN
